x_osa,y_osa,x_tacka,y_tacka
302.4,200.4,40,40
302.8,200.66666666666666,40,40
303.0,200.8,40,40
303.0,200.93333333333334,500,40
303.2,200.93333333333334,500,40
303.2,200.8,500,40
303.2,200.66666666666666,500,40
303.4,201.06666666666666,500,40
303.2,200.8,500,40
303.0,200.66666666666666,500,40
301.8,200.53333333333333,500,40
300.6,200.4,500,40
298.0,200.4,500,40
296.0,200.8,500,40
293.8,201.2,500,40
291.6,201.46666666666667,500,40
290.0,200.26666666666668,500,40
287.0,200.4,500,40
284.4,200.53333333333333,500,40
281.6,200.53333333333333,500,40
280.4,200.53333333333333,500,40
279.0,200.8,500,40
279.0,200.66666666666666,500,40
278.4,201.06666666666666,500,40
277.8,201.46666666666667,500,40
277.4,201.73333333333332,500,40
276.0,201.73333333333332,500,40
275.8,201.86666666666667,500,40
275.8,201.46666666666667,500,40
276.0,201.06666666666666,500,40
275.4,200.8,500,40
275.0,201.73333333333332,500,40
274.8,201.6,500,40
274.6,201.33333333333334,500,40
274.2,201.06666666666666,500,40
273.8,201.33333333333334,500,40
273.8,201.33333333333334,500,40
274.2,201.46666666666667,500,40
274.4,201.6,500,40
274.0,201.2,500,40
274.0,201.06666666666666,500,40
273.8,201.2,500,40
273.6,201.06666666666666,500,40
273.6,200.8,500,40
273.8,200.8,500,40
274.0,200.8,500,40
274.2,200.93333333333334,500,40
273.8,201.06666666666666,500,40
273.4,201.33333333333334,500,40
273.8,201.73333333333332,500,40
274.0,201.86666666666667,500,40
274.4,202.0,500,40
274.8,201.73333333333332,500,40
274.8,201.33333333333334,500,40
275.0,201.6,500,40
275.0,201.73333333333332,500,40
275.0,201.86666666666667,500,40
275.0,201.86666666666667,500,40
275.0,202.0,500,40
274.8,201.86666666666667,500,40
274.6,201.73333333333332,500,40
274.6,201.73333333333332,500,40
274.4,201.33333333333334,500,40
274.2,201.2,500,40
273.8,200.93333333333334,500,40
273.6,200.66666666666666,500,40
273.6,200.53333333333333,500,40
273.4,200.26666666666668,500,40
