x_osa,y_osa
85.4,39.733333333333334
109.0,50.13333333333333
143.4,60.666666666666664
157.2,71.2
172.0,82.26666666666667
207.4,93.33333333333333
243.4,104.93333333333334
279.4,117.06666666666666
315.4,119.46666666666667
331.4,122.0
343.6,134.93333333333334
355.8,147.86666666666667
357.6,160.8
360.0,173.73333333333332
361.4,176.8
361.6,179.6
361.2,182.4
361.6,185.06666666666666
362.0,187.73333333333332
362.8,189.33333333333334
364.4,190.93333333333334
365.2,192.4
365.6,193.33333333333334
365.6,194.13333333333333
365.6,194.8
366.0,195.06666666666666
367.0,195.2
367.2,195.33333333333334
368.0,195.2
367.8,195.06666666666666
367.2,194.53333333333333
367.4,194.0
364.8,194.0
364.6,193.6
364.4,193.73333333333332
365.2,193.6
365.4,193.06666666666666
365.4,193.2
364.8,193.46666666666667
364.2,193.33333333333334
364.2,192.93333333333334
364.2,192.66666666666666
366.4,193.06666666666666
366.0,193.73333333333332
366.0,193.6
365.8,193.6
365.8,193.6
366.0,193.06666666666666
366.0,193.33333333333334
365.6,193.86666666666667
365.0,194.66666666666666
365.0,194.93333333333334
365.6,194.53333333333333
366.2,194.13333333333333
366.4,194.13333333333333
366.6,194.13333333333333
366.6,194.13333333333333
366.2,194.0
366.0,193.86666666666667
366.4,194.0
366.8,194.13333333333333
366.8,194.13333333333333
366.8,194.4
366.8,194.26666666666668
366.8,193.6
366.6,192.8
366.4,192.93333333333334
366.6,193.06666666666666
367.2,192.8
367.6,192.53333333333333
367.8,192.8
367.8,193.06666666666666
368.0,192.66666666666666
368.0,192.0
368.0,191.86666666666667
368.4,191.73333333333332
368.8,191.73333333333332
369.2,191.6
369.2,191.46666666666667
369.0,191.73333333333332
369.0,192.13333333333333
369.0,191.86666666666667
368.8,191.6
368.8,191.73333333333332
368.8,192.0
368.6,191.73333333333332
368.4,191.46666666666667
368.2,191.33333333333334
368.2,191.33333333333334
368.4,191.33333333333334
368.6,191.33333333333334
368.6,191.73333333333332
368.6,191.46666666666667
368.6,191.2
368.8,190.8
369.0,190.4
369.0,190.66666666666666
369.0,190.93333333333334
368.8,190.93333333333334
368.6,190.93333333333334
368.4,190.93333333333334
368.4,191.06666666666666
368.4,191.2
368.4,191.2
368.2,191.2
368.0,191.2
368.0,190.66666666666666
368.0,190.66666666666666
368.0,190.8
368.0,190.93333333333334
368.0,191.33333333333334
367.8,190.8
367.6,190.66666666666666
367.4,190.8
367.2,190.8
367.0,190.8
367.0,190.8
367.0,190.8
367.2,190.93333333333334
367.4,191.06666666666666
367.4,191.33333333333334
367.6,191.73333333333332
367.6,192.0
367.6,192.13333333333333
367.6,192.13333333333333
367.6,191.86666666666667
367.6,192.4
367.6,192.53333333333333
367.4,192.53333333333333
367.0,192.26666666666668
366.8,192.0
366.4,191.46666666666667
366.2,190.93333333333334
366.2,190.66666666666666
366.2,190.4
366.2,190.26666666666668
366.2,189.2
366.2,188.26666666666668
360.4,188.53333333333333
354.8,188.93333333333334
348.8,189.6
343.0,190.0
337.4,190.13333333333333
331.6,190.4
325.8,191.6
319.6,192.4
313.2,193.33333333333334
306.0,193.06666666666666
304.6,192.66666666666666
303.0,192.26666666666668
301.8,191.6
301.2,191.86666666666667
300.4,192.13333333333333
301.0,191.06666666666666
301.6,190.0
301.8,189.06666666666666
302.0,188.13333333333333
303.8,187.2
304.8,186.66666666666666
306.0,185.46666666666667
307.6,184.66666666666666
308.6,183.86666666666667
324.0,181.6
338.0,179.33333333333334
337.4,180.66666666666666
337.4,181.06666666666666
337.4,181.46666666666667
336.6,182.26666666666668
336.6,183.2
336.6,183.73333333333332
336.2,183.86666666666667
336.8,184.66666666666666
322.2,184.8
307.6,184.53333333333333
308.0,185.2
308.6,185.86666666666667
308.8,186.8
309.0,190.4
309.2,194.0
309.4,194.0
309.6,195.06666666666666
309.0,196.13333333333333
309.2,196.8
309.2,197.33333333333334
308.8,198.26666666666668
308.4,198.93333333333334
308.4,198.93333333333334
308.4,200.4
308.4,201.86666666666667
307.4,202.93333333333334
306.4,204.0
306.8,203.86666666666667
307.2,203.73333333333332
308.6,203.33333333333334
308.8,202.8
309.0,202.13333333333333
309.0,201.06666666666666
309.0,200.0
309.0,199.73333333333332
310.0,199.46666666666667
311.0,198.8
310.2,199.06666666666666
309.4,198.8
308.0,198.13333333333333
307.8,196.93333333333334
307.6,195.33333333333334
307.6,194.66666666666666
307.8,195.06666666666666
307.8,195.46666666666667
307.8,196.0
308.2,196.4
308.8,197.2
309.4,198.13333333333333
309.8,198.4
310.0,198.93333333333334
310.2,200.13333333333333
310.4,200.13333333333333
310.4,200.0
310.6,200.26666666666668
310.8,200.8
310.6,201.73333333333332
310.8,202.26666666666668
311.0,201.73333333333332
310.4,201.33333333333334
310.0,200.93333333333334
310.0,200.93333333333334
310.0,200.93333333333334
309.8,199.86666666666667
309.6,198.8
309.4,198.4
309.4,197.2
309.0,196.26666666666668
309.0,195.33333333333334
309.8,194.4
310.4,194.13333333333333
310.6,193.86666666666667
310.8,193.86666666666667
311.4,194.26666666666668
312.0,194.8
312.4,195.33333333333334
312.6,195.6
312.6,194.66666666666666
312.2,194.66666666666666
312.0,195.86666666666667
312.2,196.13333333333333
312.4,197.2
312.4,198.26666666666668
312.2,199.46666666666667
311.8,200.53333333333333
311.6,200.66666666666666
311.8,200.8
312.2,201.06666666666666
312.4,201.06666666666666
312.2,200.93333333333334
311.8,200.8
311.6,200.8
311.6,202.0
311.4,202.93333333333334
311.4,202.66666666666666
311.2,202.66666666666666
310.6,202.66666666666666
310.2,201.73333333333332
310.0,200.8
310.0,200.53333333333333
310.0,200.26666666666668
311.2,199.86666666666667
311.2,199.86666666666667
311.4,199.73333333333332
311.6,199.73333333333332
312.0,199.73333333333332
313.2,199.46666666666667
314.2,199.2
314.4,199.46666666666667
314.4,199.46666666666667
314.4,199.2
313.0,198.26666666666668
312.8,198.26666666666668
312.6,199.06666666666666
312.4,199.33333333333334
312.0,198.66666666666666
311.0,199.2
310.0,199.33333333333334
310.0,198.66666666666666
310.2,198.0
310.0,197.73333333333332
309.8,197.6
309.8,197.6
309.8,197.33333333333334
310.0,196.66666666666666
310.4,196.93333333333334
310.6,197.86666666666667
305.0,196.93333333333334
299.2,195.2
293.0,195.33333333333334
287.2,196.4
280.8,192.13333333333333
274.2,187.86666666666667
268.2,188.26666666666668
262.0,188.66666666666666
254.4,185.06666666666666
246.8,181.46666666666667
244.8,177.73333333333332
240.4,177.06666666666666
236.4,177.06666666666666
235.0,173.2
234.2,169.33333333333334
231.0,170.13333333333333
227.2,170.93333333333334
227.2,170.4
228.0,167.86666666666667
228.8,169.6
228.8,169.86666666666667
231.2,166.26666666666668
234.0,164.4
234.2,166.13333333333333
234.8,167.86666666666667
234.4,170.53333333333333
234.0,170.13333333333333
232.4,167.46666666666667
231.4,167.73333333333332
231.2,169.06666666666666
232.0,167.6
232.8,166.13333333333333
233.2,164.13333333333333
232.2,164.66666666666666
231.4,163.33333333333334
234.0,163.46666666666667
237.4,164.93333333333334
238.2,164.66666666666666
239.2,164.13333333333333
237.0,164.4
234.8,163.73333333333332
234.8,162.66666666666666
234.8,163.86666666666667
236.4,165.06666666666666
239.4,165.2
242.4,165.33333333333334
242.4,165.33333333333334
242.4,165.33333333333334
242.2,164.93333333333334
244.4,166.4
246.0,166.26666666666668
246.2,166.4
246.4,166.53333333333333
245.2,166.8
242.0,166.26666666666668
240.4,165.73333333333332
241.0,165.6
240.4,164.0
241.2,165.6
242.0,167.2
241.2,167.6
239.6,168.13333333333333
238.6,166.93333333333334
238.8,165.6
241.0,165.33333333333334
241.6,166.66666666666666
240.6,165.33333333333334
241.4,165.33333333333334
240.8,165.46666666666667
239.6,164.0
240.6,162.53333333333333
242.8,164.4
244.4,167.73333333333332
221.0,154.93333333333334
195.6,142.13333333333333
193.6,141.86666666666667
193.2,141.6
195.8,142.66666666666666
198.4,143.73333333333332
198.4,143.86666666666667
199.4,145.86666666666667
199.2,148.93333333333334
195.8,150.53333333333333
217.4,152.13333333333333
241.2,152.8
241.6,153.46666666666667
243.4,153.46666666666667
241.6,153.73333333333332
239.8,166.93333333333334
239.4,176.93333333333334
238.0,175.6
237.6,175.46666666666667
240.4,175.73333333333332
242.0,176.26666666666668
243.2,178.26666666666668
244.4,178.4
242.0,177.33333333333334
239.6,176.4
238.8,175.06666666666666
237.0,177.6
238.8,180.53333333333333
239.6,180.8
239.0,177.46666666666667
239.6,174.13333333333333
239.6,177.06666666666666
239.8,180.4
242.2,182.53333333333333
241.0,184.0
238.2,185.2
241.4,185.06666666666666
241.8,185.2
242.2,186.53333333333333
241.4,186.53333333333333
240.6,186.93333333333334
240.4,187.06666666666666
240.0,186.8
239.8,186.53333333333333
239.4,189.06666666666666
239.0,191.6
239.4,191.6
239.0,191.2
234.8,190.26666666666668
233.2,190.0
234.8,188.53333333333333
233.4,186.93333333333334
232.0,185.06666666666666
232.0,184.66666666666666
235.8,185.6
239.8,186.66666666666666
239.8,186.66666666666666
238.0,185.2
240.0,183.73333333333332
243.8,184.4
240.6,184.66666666666666
238.6,184.4
239.8,182.66666666666666
239.4,181.46666666666667
214.4,169.06666666666666
189.2,157.86666666666667
199.6,162.8
211.8,167.73333333333332
224.8,171.06666666666666
236.0,174.4
250.4,177.46666666666667
264.8,180.53333333333333
276.8,185.73333333333332
289.0,190.66666666666666
325.8,194.0
362.4,197.6
363.4,201.2
364.8,206.4
365.4,211.6
366.0,228.13333333333333
367.2,244.66666666666666
368.4,244.93333333333334
368.8,244.93333333333334
369.0,245.06666666666666
369.2,245.73333333333332
369.6,246.53333333333333
369.8,246.93333333333334
369.8,246.8
369.8,246.93333333333334
370.0,247.46666666666667
370.2,248.13333333333333
370.2,248.66666666666666
370.2,249.06666666666666
370.2,249.46666666666667
370.2,249.73333333333332
370.2,250.0
370.4,250.26666666666668
370.4,250.8
370.4,251.33333333333334
370.2,251.33333333333334
370.2,251.06666666666666
370.4,251.2
370.4,251.2
370.4,251.2
370.4,250.53333333333333
370.4,249.86666666666667
370.4,249.33333333333334
370.4,248.8
370.4,248.53333333333333
370.4,248.0
370.2,247.46666666666667
370.0,247.2
370.0,246.93333333333334
370.2,246.66666666666666
370.4,246.4
370.6,246.26666666666668
370.8,246.26666666666668
371.0,246.26666666666668
371.0,246.0
371.0,246.0
370.8,245.86666666666667
370.6,245.73333333333332
370.8,245.86666666666667
370.6,245.86666666666667
370.4,246.13333333333333
370.2,246.13333333333333
370.0,245.86666666666667
