x_predvidjeno,y_predvidjeno,x_ekran,y_ekran
371.85229870240073,223.59005245599974,900,100
371.85229870240073,223.59005245599974,900,100
371.85229870240073,223.59005245599974,900,100
371.85229870240073,223.59005245599974,900,100
371.85229870240073,223.59005245599974,900,100
371.85229870240073,223.59005245599974,900,100
371.85229870240073,223.59005245599974,900,100
371.85229870240073,223.59005245599974,900,100
371.85229870240073,223.59005245599974,900,100
451.88710873786715,204.93516899333326,900,100
451.88710873786715,204.93516899333326,900,100
451.88710873786715,204.93516899333326,900,100
451.88710873786715,204.93516899333326,900,100
451.88710873786715,204.93516899333326,900,100
451.88710873786715,204.93516899333326,900,100
451.88710873786715,204.93516899333326,900,100
451.88710873786715,204.93516899333326,900,100
451.88710873786715,204.93516899333326,900,100
538.1395252556011,187.13023777199987,900,100
538.1395252556011,187.13023777199987,900,100
538.1395252556011,187.13023777199987,900,100
538.1395252556011,187.13023777199987,900,100
538.1395252556011,187.13023777199987,900,100
538.1395252556011,187.13023777199987,900,100
538.1395252556011,187.13023777199987,900,100
538.1395252556011,187.13023777199987,900,100
538.1395252556011,187.13023777199987,900,250
618.1743352910676,168.47535430933294,900,250
618.1743352910676,168.47535430933294,900,250
618.1743352910676,168.47535430933294,900,250
618.1743352910676,168.47535430933294,900,250
618.1743352910676,168.47535430933294,900,250
618.1743352910676,168.47535430933294,900,250
618.1743352910676,168.47535430933294,900,250
618.1743352910676,168.47535430933294,900,250
618.1743352910676,168.47535430933294,900,250
676.7386831910676,157.7372009553328,900,250
676.7386831910676,157.7372009553328,900,250
676.7386831910676,157.7372009553328,900,250
676.7386831910676,157.7372009553328,900,250
676.7386831910676,157.7372009553328,900,250
676.7386831910676,157.7372009553328,900,250
676.7386831910676,157.7372009553328,900,250
676.7386831910676,157.7372009553328,900,250
