x_osa,y_osa,x_tacka,y_tacka
294.2,181.06666666666666,900,100
292.0,181.73333333333332,900,100
289.8,182.4,900,100
287.6,183.06666666666666,900,100
285.2,183.6,900,100
282.8,184.26666666666668,900,100
280.6,184.93333333333334,900,100
277.8,185.6,900,100
276.2,186.13333333333333,900,100
274.8,186.93333333333334,900,100
274.8,187.46666666666667,900,100
274.8,187.86666666666667,900,100
274.6,188.4,900,100
274.4,189.2,900,100
274.8,189.2,900,100
275.0,189.33333333333334,900,100
274.8,189.33333333333334,900,100
274.8,189.2,900,100
274.4,189.2,900,100
274.0,189.33333333333334,900,100
273.8,189.46666666666667,900,100
273.6,189.6,900,100
273.6,189.73333333333332,900,100
273.0,189.6,900,100
273.2,189.6,900,100
272.8,189.86666666666667,900,100
271.4,189.33333333333334,900,100
271.8,189.46666666666667,900,100
271.8,189.6,900,100
271.8,189.73333333333332,900,100
272.0,189.86666666666667,900,100
272.2,190.0,900,100
272.0,190.26666666666668,900,100
272.6,190.4,900,100
273.2,190.4,900,100
273.2,190.26666666666668,900,100
274.4,190.13333333333333,900,100
274.2,190.0,900,100
274.2,190.26666666666668,900,100
274.4,190.26666666666668,900,100
273.8,190.26666666666668,900,100
273.2,190.93333333333334,900,100
273.0,190.8,900,100
273.0,190.66666666666666,900,100
272.0,190.53333333333333,900,100
272.2,190.4,900,100
272.2,190.4,900,100
272.2,190.4,900,100
271.8,190.26666666666668,900,100
271.4,190.26666666666668,900,100
271.4,190.4,900,100
271.8,190.53333333333333,900,100
272.0,190.66666666666666,900,100
271.6,190.8,900,100
271.2,190.93333333333334,900,100
271.2,191.06666666666666,900,100
271.4,191.2,900,100
271.6,191.33333333333334,900,100
271.8,191.46666666666667,900,100
272.0,191.6,900,100
272.4,191.6,900,100
272.4,191.6,900,100
272.6,191.86666666666667,900,100
272.2,192.13333333333333,900,100
273.2,192.26666666666668,900,100
274.0,192.26666666666668,900,100
274.0,192.4,900,100
274.0,192.4,900,100
274.0,192.26666666666668,900,100
274.2,192.26666666666668,900,100
274.2,192.26666666666668,900,100
274.0,192.13333333333333,900,100
273.8,192.0,900,100
274.8,192.0,900,100
274.4,192.0,900,100
273.8,192.13333333333333,900,100
273.8,192.13333333333333,900,100
273.8,191.86666666666667,900,100
274.0,191.73333333333332,900,100
274.0,191.73333333333332,900,100
274.0,191.73333333333332,900,100
274.0,191.46666666666667,900,100
274.0,191.33333333333334,900,100
273.8,191.6,900,100
273.4,191.2,900,100
273.2,191.2,900,100
272.6,191.2,900,100
272.2,191.33333333333334,900,100
272.0,191.6,900,100
272.0,191.6,900,100
272.0,191.6,900,100
271.8,191.73333333333332,900,100
271.6,191.73333333333332,900,100
271.0,191.73333333333332,900,100
271.8,191.73333333333332,900,100
272.8,191.73333333333332,900,100
272.8,192.0,900,100
272.6,192.26666666666668,900,100
272.6,192.13333333333333,900,100
272.2,192.66666666666666,900,100
271.8,192.8,900,100
272.2,192.93333333333334,900,100
272.6,192.8,900,100
273.2,192.4,900,100
272.6,192.4,900,100
271.8,192.4,900,100
272.4,192.26666666666668,900,100
272.8,192.26666666666668,900,100
273.0,192.26666666666668,900,100
273.2,192.13333333333333,900,100
273.6,192.13333333333333,900,100
273.6,192.0,900,100
273.6,191.86666666666667,900,100
273.6,191.86666666666667,900,100
273.6,191.86666666666667,900,250
273.4,191.46666666666667,900,250
273.4,191.46666666666667,900,250
273.6,191.6,900,250
273.4,191.86666666666667,900,250
273.2,191.86666666666667,900,250
273.2,191.86666666666667,900,250
273.2,191.86666666666667,900,250
273.6,192.53333333333333,900,250
274.0,193.2,900,250
274.8,194.13333333333333,900,250
275.4,194.53333333333333,900,250
275.8,195.06666666666666,900,250
276.0,195.6,900,250
276.6,196.13333333333333,900,250
277.6,196.66666666666666,900,250
278.0,197.46666666666667,900,250
278.4,197.86666666666667,900,250
278.4,198.26666666666668,900,250
278.4,198.53333333333333,900,250
278.0,199.2,900,250
278.0,199.46666666666667,900,250
277.8,199.73333333333332,900,250
277.8,199.2,900,250
277.6,198.66666666666666,900,250
277.6,198.66666666666666,900,250
278.0,199.06666666666666,900,250
278.4,199.33333333333334,900,250
278.2,199.2,900,250
278.0,198.93333333333334,900,250
277.8,198.53333333333333,900,250
278.0,198.53333333333333,900,250
