smooth_x,smooth_y,x_tacka,y_tacka
679.9484214372355,294.7849303831903,100,100
679.868031936629,294.86568386403076,100,100
679.779269701065,294.9423996708292,100,100
679.6967208219904,295.0252796872877,100,100
679.633950364451,295.0940157029233,100,100
679.5615738389395,295.1693149177771,100,100
679.4802636702137,295.26084917188825,100,100
679.3906452132987,295.3578067132938,100,100
679.3213000483678,295.4599163776291,100,100
679.2568090449821,295.57692055874764,100,100
679.1968324118334,295.69807453081023,100,100
679.141054143005,295.82317080426975,100,100
679.1031803529947,295.93201226405625,100,100
679.0539577282851,296.0354116508534,500,100
679.0221806873052,296.1236410683107,500,100
679.0346280391938,296.17745901489513,500,100
679.0742040764502,296.2185860641504,500,100
679.1250097910987,296.25765676094284,500,100
679.1722591057218,296.28477392289574,500,100
679.2162009683212,296.3005352267509,500,100
679.3410669005386,296.25550846541336,500,100
679.6391922175009,296.21273304214264,500,100
680.0844487622758,296.1620963900355,500,100
680.6805373489165,296.1039915705337,500,100
681.4028997344923,296.038791992007,500,100
682.2426967530778,295.9668523924067,500,100
683.2057079803624,295.8685097727863,500,100
684.283308421737,295.74508428414697,500,100
685.4534768322154,295.63783006993964,500,100
686.7237334539603,295.5159385664427,500,100
688.0310721121831,295.4501416381205,500,100
689.2608970643303,295.37763455621445,500,100
690.4186342698272,295.3087528284037,500,100
691.4813298709392,295.26331518698356,500,100
692.4556367799735,295.26014942763436,500,100
693.3617422053753,295.28714195625264,500,100
694.2184202509991,295.31278485844,500,100
695.0291308334291,295.337145615518,500,100
695.797091675089,295.3602883347421,500,100
696.5252952578327,295.382273918005,500,100
697.1885245897843,295.39316022210477,500,100
697.8053278684993,295.3935022109995,500,100
698.3649549177044,295.4138271004495,500,100
698.8994080734651,295.443135745427,500,100
699.4104495083225,295.4609789581557,500,100
699.8997180427398,295.4679300102479,500,100
700.3547377797479,295.4945335097355,500,100
700.9179061351655,295.38980683424876,500,100
701.595652705704,295.1303164925363,500,100
702.2119570163047,294.87380066790945,500,100
702.7851200251635,294.65011063451396,500,100
703.318161623402,294.45760510278825,500,100
703.8138903097639,294.2747248476488,500,100
