smooth_x,smooth_y,x_tacka,y_tacka
313.0739429613698,180.55418572852142,500,100
312.24276695407394,180.713143108762,500,100
311.46977326728876,180.8574859533239,500,100
310.73688913857853,180.9946116556577,500,100
310.041306898878,181.13154773954147,500,100
309.35241541595656,181.24830368589775,500,100
308.6977463368396,181.37922183493617,500,100
308.0609040932608,181.49692740985603,500,100
307.46864080673254,181.61541437269653,500,100
306.9178359502613,181.72797698739504,500,100
306.391587433743,181.80824480469192,500,100
305.888176313381,181.87783256445732,500,100
305.4060039714443,181.92394093623446,500,100
304.9715836934432,181.96774388942274,500,100
304.5675728349022,182.0093566949516,500,100
304.191842736459,182.0755555268707,500,100
303.81441374490686,182.1384444171938,500,100
303.44940478276334,182.21818886300076,500,100
303.09594644796994,182.32727941985073,500,100
302.75323019661204,182.4442487821915,500,100
302.4345040828492,182.56203634308193,500,100
302.12408879704975,182.6339345259278,500,100
301.8214025812563,182.72890446629805,500,100
301.5259044005683,182.8391259096498,500,100
301.2510910925285,182.94383628083398,500,100
300.9815147160515,183.03664446679227,500,100
300.7168086859279,183.1114789101193,500,100
300.47063207791297,183.20257163128,500,100
300.2416878324591,183.2757763830493,500,100
300.09876968418695,183.35198756389684,500,100
300.00785580629383,183.39772151903534,500,100
299.9793058998532,183.4411687764169,500,100
299.9247544868635,183.42911033759606,500,100
299.846021672783,183.37765482071626,500,100
299.75880015568816,183.3154387463471,500,100
299.67768414478996,183.25633347569638,500,100
299.61624625465464,183.21351680191157,500,100
299.5731090168288,183.16617429514932,500,100
299.5049913856508,183.08786558039185,500,100
299.34364198865524,183.00013896803893,500,100
299.15158704944935,182.92346535297028,500,100
298.9169759559879,182.8706254186551,500,100
298.7407876390687,182.82042748105567,500,100
298.6049325043339,182.80607277366954,500,100
298.4785872290305,182.81243580165273,500,100
298.3890861229984,182.84514734490344,500,100
298.3058500943885,182.90955664432494,500,100
298.2004405877813,183.03074547877537,500,100
298.11640974663663,183.15254153816994,500,100
298.0522610643721,183.26824779459477,500,100
298.04860278986604,183.39150207153168,500,100
298.05920059457543,183.50859363462175,500,100
298.05505655295514,183.606497286224,500,100
298.06520259424826,183.7261724219128,500,100
298.06063841265086,183.81986380081716,500,100
298.04239372376526,183.9088706107763,500,100
298.02542616310166,183.98009374690415,500,100
298.0236463316845,184.02108905955893,500,100
298.03599108846663,184.02670127324765,500,100
298.047471712274,183.99203287625193,500,100
298.0021486924148,183.92576456577265,500,100
297.9599982839457,183.82280967081735,500,100
297.9207984040695,183.6916691872765,500,100
297.84234251578465,183.54708572791264,500,100
297.79737853967976,183.41639810818367,500,100
297.74156204190217,183.27224486944115,500,100
297.70365269896905,183.13529929263575,500,100
297.65439701004124,182.99186766133727,500,100
297.59458921933833,182.82894094493707,500,100
297.55296797398466,182.69416056435688,500,100
297.51426021580573,182.55945253613902,500,100
297.4782620006993,182.43814657599873,500,100
297.4447836606504,182.32290591386544,500,100
297.44164880440485,182.21342728483882,500,100
297.43873338809647,182.12942258726355,500,100
