x_osa,y_osa,x_tacka,y_tacka
332.4,327.2,500,40
334.0,325.73333333333335,500,40
335.4,325.06666666666666,500,40
335.6,325.46666666666664,500,40
337.0,324.4,500,40
332.0,322.93333333333334,500,40
326.8,321.6,500,40
324.8,320.6666666666667,500,40
320.0,319.3333333333333,500,40
322.8,318.1333333333333,500,40
325.6,318.8,500,40
325.4,319.46666666666664,500,40
325.6,318.53333333333336,500,40
326.0,319.3333333333333,500,40
326.0,319.06666666666666,500,40
322.6,318.8,500,40
318.6,318.8,500,40
322.0,318.1333333333333,500,40
322.0,317.46666666666664,500,40
318.8,317.8666666666667,500,40
315.6,318.26666666666665,500,40
312.4,318.53333333333336,500,40
309.0,318.4,500,40
309.0,318.53333333333336,500,40
309.0,318.6666666666667,500,40
312.4,318.8,500,40
313.4,319.2,500,40
310.0,319.3333333333333,500,40
310.0,319.2,500,40
310.2,319.46666666666664,500,40
310.4,319.46666666666664,500,40
313.8,319.6,500,40
317.4,319.6,500,40
317.2,319.6,500,40
317.2,319.46666666666664,500,40
314.0,319.46666666666664,500,40
317.4,319.3333333333333,500,40
321.0,319.2,500,40
320.8,320.0,500,40
324.0,319.8666666666667,500,40
327.2,319.73333333333335,500,40
327.2,319.46666666666664,500,40
345.4,319.06666666666666,500,40
363.8,318.93333333333334,500,40
364.0,318.6666666666667,500,40
364.0,318.6666666666667,500,40
360.8,319.46666666666664,500,40
361.0,319.46666666666664,500,40
361.6,319.6,500,40
361.6,319.3333333333333,500,40
361.2,319.73333333333335,500,40
361.4,319.73333333333335,500,40
343.2,319.8666666666667,500,40
322.2,319.3333333333333,500,40
319.2,319.73333333333335,500,40
322.0,320.53333333333336,500,40
325.0,320.53333333333336,500,40
324.8,320.6666666666667,500,40
324.6,320.8,500,40
324.4,320.6666666666667,500,40
324.8,320.26666666666665,500,40
324.8,319.3333333333333,500,40
324.8,319.3333333333333,500,40
327.6,319.2,500,40
330.4,319.3333333333333,500,40
330.8,318.6666666666667,500,40
331.0,318.6666666666667,500,40
331.0,318.53333333333336,500,40
327.6,318.53333333333336,500,40
327.8,318.26666666666665,500,40
327.8,317.6,500,40
327.8,317.6,500,40
328.0,317.8666666666667,500,40
328.0,318.0,500,40
328.0,318.1333333333333,500,40
328.0,318.26666666666665,500,40
327.8,318.4,500,40
323.6,318.26666666666665,500,40
327.0,318.26666666666665,500,40
322.0,318.0,500,40
322.0,318.0,500,40
318.0,318.0,500,40
314.0,318.0,500,40
314.2,317.8666666666667,500,40
314.2,317.8666666666667,500,40
314.6,317.73333333333335,500,40
310.4,317.6,500,40
310.2,317.3333333333333,500,40
310.2,317.3333333333333,500,40
315.2,317.3333333333333,500,40
315.2,317.3333333333333,500,40
319.0,317.3333333333333,500,40
322.8,317.46666666666664,500,40
322.6,317.46666666666664,500,40
322.6,317.73333333333335,500,40
319.2,318.1333333333333,500,40
323.8,318.1333333333333,500,40
328.4,318.1333333333333,500,40
325.0,318.26666666666665,500,40
325.4,318.26666666666665,500,40
322.2,318.8,500,40
322.6,318.93333333333334,500,40
323.0,319.06666666666666,500,40
319.8,319.46666666666664,500,40
320.2,319.46666666666664,500,40
323.2,320.0,500,40
323.2,320.1333333333333,500,40
320.0,320.53333333333336,500,40
324.0,320.53333333333336,500,40
323.8,320.53333333333336,500,40
327.2,320.1333333333333,960,40
327.4,320.26666666666665,960,40
327.6,320.4,960,40
330.8,320.26666666666665,960,40
349.4,321.2,960,40
350.0,321.06666666666666,960,40
346.4,321.3333333333333,960,40
345.2,321.73333333333335,960,40
340.0,321.6,960,40
335.4,321.8666666666667,960,40
330.8,321.6,960,40
325.8,321.6,960,40
